"Gross Average Monthly Wages by Country and Year"

"Indicator";"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"US$, at current Exchange Rates";"Albania";..;..;23.8;30.2;50.5;69.1;82.7;60.8;72.3;88.0;92.9;103.3;118.0;152.0;185.2;200.2;222.6;302.4;408.6;379.8;334.7;361.3;348.6;350.1;353.8;303.1;..
"US$, at current Exchange Rates";"Armenia";..;..;..;6.7;6.1;17.4;22.9;27.7;35.6;37.7;42.1;44.1;47.7;60.1;81.4;113.8;149.7;217.0;285.7;264.3;274.7;290.2;350.3;357.7;381.3;359.1;393.0
"US$, at current Exchange Rates";"Austria";2173.8;2250.5;2481.5;2325.6;2440.4;2765.4;2707.1;2438.7;2490.3;2420.6;2150.1;2132.7;2306.4;2805.0;3198.9;3291.6;3444.7;3871.8;4328.3;4169.6;4018.2;4317.1;4094.7;4335.0;4440.6;3778.2;3820.7
"US$, at current Exchange Rates";"Azerbaijan";..;..;..;..;..;14.2;20.8;35.5;43.5;44.8;49.5;55.8;64.9;78.8;101.2;130.7;166.8;251.5;334.0;370.8;413.0;461.2;507.1;541.8;566.7;455.7;313.2
"US$, at current Exchange Rates";"Belarus";..;..;..;..;..;65098.5;90996.3;86728.2;100052.8;78931.8;67.2;88.5;105.7;122.2;160.9;215.3;271.5;323.4;406.4;351.4;408.7;381.9;440.9;570.0;592.0;421.6;..
"US$, at current Exchange Rates";"Belgium";2302.3;2404.6;2650.6;2498.0;2643.6;2946.0;2910.7;2671.0;2674.3;2687.4;2395.9;2381.4;2589.3;3160.7;3539.5;3617.0;3769.1;4225.6;4693.4;4470.6;4298.5;4687.9;4439.8;4686.2;4723.0;3964.2;3975.3
"US$, at current Exchange Rates";"Bosnia and Herzegovina";..;..;..;..;..;..;..;229.2;258.0;274.0;253.9;273.6;317.6;413.8;474.9;506.8;557.4;667.1;833.0;854.6;823.9;903.0;847.4;876.6;874.9;730.9;735.7
"US$, at current Exchange Rates";"Bulgaria";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;404.8;429.5;437.5;496.0;483.4;526.2;555.1;500.2;537.5
"US$, at current Exchange Rates";"Canada";2168.2;2298.5;2245.4;2142.7;2038.5;2065.2;2131.0;2207.6;2125.3;2188.0;2303.8;2238.8;2232.9;2546.2;2862.0;3251.6;3633.0;3996.7;4179.2;3948.3;4430.2;4784.2;4906.8;4910.3;4725.3;4146.4;4058.2
"US$, at current Exchange Rates";"Croatia";..;..;..;..;348.8;531.7;596.8;595.4;649.2;639.9;588.4;605.8;684.5;840.4;993.1;1050.3;1137.2;1316.2;1536.0;1465.3;1396.6;1458.7;1345.2;1391.2;1384.0;1173.7;1139.1
"US$, at current Exchange Rates";"Cyprus";..;..;..;..;..;..;1496.0;1428.8;1473.2;1444.8;1318.2;1334.2;1484.2;1888.0;2179.0;2296.1;2419.4;2735.3;3078.7;3012.9;..;..;..;..;..;..;..
"US$, at current Exchange Rates";"Czechia";..;..;..;224.4;273.2;334.5;383.8;362.2;385.6;379.5;364.6;401.6;504.3;628.7;747.3;830.7;934.2;1104.8;1379.2;1243.1;1270.5;1410.4;1298.0;1295.8;1256.3;1084.5;1132.8
"US$, at current Exchange Rates";"Denmark";2726.3;2722.1;3009.9;2857.1;2891.7;3399.8;3409.3;3090.3;3149.8;3117.6;2768.4;2765.8;3053.2;3782.2;4294.3;4441.4;4654.0;5231.1;5856.8;5760.7;5669.1;6063.7;5720.4;5993.0;6156.8;5223.8;5361.2
