c_birth,age,unit,sex,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FOR,TOTAL,NR,T,AT	1259626 	1274901 	1294224 	1322656 	1364003 	1414215 	1483123 	1588209 	1649008 
FOR,TOTAL,NR,T,BE	1443937 p	1503806 p	1628793 b	1677737 	1722265 	1748748 	1783488 	1845631 	1876726 
FOR,TOTAL,NR,T,BG	: 	: 	78621 	85076 	96113 	109239 	123803 	136421 	145390 
FOR,TOTAL,NR,T,CH	: 	: 	1940349 b	2033702 	2102964 	2183206 	2258196 	2324461 	2391480 
FOR,TOTAL,NR,T,CY	150781 	188472 	193943 	200313 	200842 	191587 	176693 	172808 	173791 
FOR,TOTAL,NR,T,CZ	384161 	398493 	387971 	390843 	387337 	396156 	416454 	433290 	465056 
FOR,TOTAL,NR,T,DE	9548865 	9812263 	8935603 b	9117874 b	9456225 b	9807877 	10220418 	10908255 	12105436 
FOR,TOTAL,NR,T,DK	486003 	500772 	517230 	531540 	548411 	569596 	595876 	636666 	668090 
FOR,TOTAL,NR,T,EE	220315 	217890 	212685 b	210842 	198411 	196558 	194664 b	193813 	192535 
FOR,TOTAL,NR,T,EL	1304670 	1321149 	1325255 	1312519 	1279516 	1265165 	1242924 	1220395 	1250863 
FOR,TOTAL,NR,T,ES	6225516 	6280062 	6282205 	6294954 	6174740 	5958308 	5891208 	5918341 	6024698 
FOR,TOTAL,NR,T,FI	214118 	228481 	243217 	260856 	279743 	297812 	314856 	329219 	348986 
FOR,TOTAL,NR,T,FR	7245620 	7309986 	7335966 	7463157 	7543950 	7727393 	7874172 p	7899290 p	8155670 p
FOR,TOTAL,NR,T,HR	: 	: 	: 	: 	574383 	568678 	561093 	547929 	539588 
FOR,TOTAL,NR,T,HU	424031 	436616 	443295 	401769 	423317 	447029 	475508 	503787 	513649 
FOR,TOTAL,NR,T,IE	735461 	730542 	737219 	772826 b	760960 	754664 	759256 	773649 	796410 
FOR,TOTAL,NR,T,IS	37552 	35091 	34650 	34550 	35319 	37116 	39072 	41853 	46080 
FOR,TOTAL,NR,T,IT	5813773 	5787893 	5759022 	5715065 	5695883 	5737213 	5805328 	5907452 	6053960 e
FOR,TOTAL,NR,T,LI	22167 	22342 	22500 	22794 	23109 	23424 	23799 	24241 	24634 
FOR,TOTAL,NR,T,LT	171179 	160772 	149544 	143675 	140221 	137417 	136021 	129706 	127351 
FOR,TOTAL,NR,T,LU	159030 	163142 	166319 	216156 	227461 	237848 	248888 	260573 	270010 b
FOR,TOTAL,NR,T,LV	324871 	313786 	302849 	289018 	279227 	271126 	265418 	258889 	251465 
FOR,TOTAL,NR,T,MT	30474 	33008 	33591 	35121 	38815 	44149 	52642 	61632 	69576 
FOR,TOTAL,NR,T,NL	1793744 	1832510 	1868655 	1906295 	1927728 	1953436 	1996318 	2056520 	2137234 
FOR,TOTAL,NR,T,NO	488753 	524601 	568338 	614722 	662526 	704440 	746375 	774043 	799797 
FOR,TOTAL,NR,T,PL	453248 	642417 	637408 p	630478 p	625363 	620308 p	611855 p	626396 p	651845 ep
FOR,TOTAL,NR,T,PT	853328 	762825 	755484 	851496 	881440 	859065 	864814 	872501 	876300 
FOR,TOTAL,NR,T,RO	: 	: 	: 	193519 p	182939 	211210 	281048 	350753 	421801 
FOR,TOTAL,NR,T,SE	1280908 	1337214 	1384111 	1426402 	1472353 	1532563 	1602522 	1675116 	1783179 
FOR,TOTAL,NR,T,SI	243404 b	253786 	228588 	230109 	232703 	235310 	237616 	241203 	245369 
FOR,TOTAL,NR,T,SK	: b	64422 	68135 	156883 	158164 	174908 	177624 	181642 	186217 
FOR,TOTAL,NR,T,UK	6861616 	7119664 	7342547 	7762355 	7923417 	8039323 	8411569 	8698152 	9293729 
